,Electrolyte
0,"0.6 M 1-methyl-3-propylimidazolium iodide (PMII), 0.10 M guanidinium thiocyanate, 0.03 M I2 , 0.5 M tert-butylpyridine in acetonitrile and valeronitrile (85:15)"
1,"0.17 M Spiro-MeOTAD, 0.11 mM tert-butylpyridine, and 0.21 mM LiN(CF3SO2)2 in chlorobenzene"
2,"0.17 M Spiro-MeOTAD, 0.11 mM tert-butylpyridine, and 0.21 mM LiN(CF3SO2)2 in chlorobenzene"
3,"0.17 M Spiro-MeOTAD, 0.11 mM tert-butylpyridine, and 0.21 mM LiN(CF3SO2)2 in chlorobenzene"
4,"1,3-dimethylimidazolium iodide, 1-ethyl-3methylimidazolium iodide, 1-ethyl-3-methylimidazolium tetracyanoborate, iodide, N-butylbenzoimidazole and guanidinium thiocyanate (molar ratio: 12/12/16/1.67/3.33/0.67)"
5,"1,3-dimethylimidazolium iodide, 1-ethyl-3methylimidazolium iodide, 1-ethyl-3-methylimidazolium tetracyanoborate, iodide, N-butylbenzoimidazole and guanidinium thiocyanate (molar ratio: 12/12/16/1.67/3.33/0.67)"
6,"1,3-dimethylimidazolium iodide, 1-ethyl-3methylimidazolium iodide, 1-ethyl-3-methylimidazolium tetracyanoborate, iodide, N-butylbenzoimidazole and guanidinium thiocyanate (molar ratio: 12/12/16/1.67/3.33/0.67)"
7,"1.0 M 1,3-dimethylimidazolium iodide, 0.03 M I2, 0.05 M lithium iodide, 0.1 M guanidinium thiocyanate and 0.5 M tert-butylpyridine in acetonitrile and valeronitrile solvent mixture (85:15, v/v)"
8,"1.0 M 1,3-dimethylimidazolium iodide, 0.03 M I2, 0.05 M lithium iodide, 0.1 M guanidinium thiocyanate and 0.5 M tert-butylpyridine in acetonitrile and valeronitrile solvent mixture (85:15, v/v)"
9,"1.0 M 1,3-dimethylimidazolium iodide, 0.03 M I2, 0.05 M lithium iodide, 0.1 M guanidinium thiocyanate and 0.5 M tert-butylpyridine in acetonitrile and valeronitrile solvent mixture (85:15, v/v)"
10,OPV-AN-I  (iodide-triiodide)
11,OPV-AN-I  (iodide-triiodide)
12,OPV-AN-I  (iodide-triiodide)
13,OPV-AN-I  (iodide-triiodide)
14,OPV-AN-I  (iodide-triiodide)
15,OPV-AN-I  (iodide-triiodide)
16,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
17,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
18,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
19,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
20,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
21,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
22,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
23,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
24,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
25,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
26,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1 M LiI, and 0.05 M I2 in methoxyacetonitrile (MAN)"
27,0.6 M DMPImI-0.1 M LiI-0.05 M I2-1.0 M 4-tert-butylpyridine (TBP) in AN
28,0.6 M DMPImI-0.1 M LiI-0.05 M I2-1.0 M 4-tert-butylpyridine (TBP) in AN
29,0.6 M DMPImI-0.1 M LiI-0.05 M I2-1.0 M 4-tert-butylpyridine (TBP) in AN
30,OPV-AN-I
31,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI)-0.1 M LiI-0.05 M I2 in methoxyacetonitrile (MAN)"
32,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1MLiI and 0.05M I2 in methoxyacetonitrile(MAN)"
33,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1MLiI and 0.05M I2 in methoxyacetonitrile(MAN)"
34,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1MLiI and 0.05M I2 in methoxyacetonitrile(MAN)"
35,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1MLiI and 0.05M I2 in methoxyacetonitrile(MAN)"
36,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1MLiI and 0.05M I2 in methoxyacetonitrile(MAN)"
37,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1MLiI and 0.05M I2 in methoxyacetonitrile(MAN)"
38,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1MLiI and 0.05M I2 in methoxyacetonitrile(MAN)"
39,"0.6 M 1,2-dimethyl-3-n-propylimidazolium iodide (DMPImI), 0.1MLiI and 0.05M I2 in methoxyacetonitrile(MAN)"
40,0.6 M DMPImI-0.1 M LiI-0.05 M I2-0.5 M TBP in AN
41,0.6 M DMPImI-0.1 M LiI-0.05 M I2-1.0 M TBP in AN
42,0.6 M DMPImI-0.1 M LiI-0.05 M I2-2.0 M TBP in AN
43,"0.6 m 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.5 m 4-tert-butylpyridine (TBP), 0.05 m I2 and 0.1 m LiI in CH3CN"
44,"0.6 m 1,2-dimethyl-3-propylimidazolium iodide (DMPII), 0.5 m 4-tert-butylpyridine (TBP), 0.05 m I2 and 0.1 m LiI in CH3CN"
