,VOC,JSC,FF,PCE,Electrolyte,Molecule SMILE,Exposure time (h),Solar simulator at 1.5G (mW/cm2),Dye loading (nmol/cm2),Semiconductor Type,Semiconductor Film Thickness (um),Semiconductor Scattering Layer Thickness (um),Used Co-sensitizer,Used Co-adsorbent,Co-adsorbent type,Co-adsorbent Conc. (mM),Active area (cm2)
0,687.0,10.79,0.7,5.19,Iodide_Triiodide,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)CCCCCCN1c2ccccc2Sc2c1ccc(c2)/C=C(/c1ccc(s1)/C=C(/C(=O)O)\C#N)\C#N)/c1ccc(s1)/C=C(/C(=O)O)\C#N,15.0,100.0,152.64,TiO2,12.0,0.0,0,0,None,0.0,0.25
1,790.0,6.9,0.47,2.6,Spiro-OMeTAD,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,5.0,100.0,152.64,TiO2,8.0,5.0,0,0,None,0.0,0.158
2,835.0,7.7,0.49,3.1,Spiro-OMeTAD,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,5.0,100.0,152.64,TiO2,8.0,5.0,0,0,None,0.0,0.158
3,800.0,6.4,0.43,2.2,Spiro-OMeTAD,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)CC,5.0,100.0,152.64,TiO2,8.0,5.0,0,0,None,0.0,0.158
4,651.0,10.3,0.75,5.0,Iodide_Triiodide,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,5.0,100.0,152.64,TiO2,8.0,5.0,0,0,None,0.0,0.158
5,693.0,10.0,0.75,5.1,Iodide_Triiodide,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,5.0,100.0,152.64,TiO2,8.0,5.0,0,0,None,0.0,0.158
6,740.0,8.0,0.77,4.8,Iodide_Triiodide,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)CC,5.0,100.0,152.64,TiO2,8.0,5.0,0,0,None,0.0,0.158
7,678.0,13.2,0.67,6.0,Iodide_Triiodide,N#C/C(=C\c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,5.0,100.0,152.64,TiO2,8.0,5.0,0,0,None,0.0,0.158
8,695.0,12.2,0.74,6.2,Iodide_Triiodide,N#C/C(=C\c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)/C(=O)O,5.0,100.0,152.64,TiO2,8.0,5.0,0,0,None,0.0,0.158
9,800.0,9.0,0.76,5.5,Iodide_Triiodide,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C(\C(=O)O)/C#N)c1ccc(cc1)/C=C/c1cc2ccc(cc2oc1=O)N(CC)CC)CC,5.0,100.0,152.64,TiO2,8.0,5.0,0,0,None,0.0,0.158
10,560.0,3.41,0.73,1.39,Iodide_Triiodide,CCN([C@@H]1C=Cc2c(C1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)/C=C(/[C@H]1SC(=S)N(C1=O)CC(=O)O)\[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,24.0,100.0,152.64,TiO2,12.0,0.0,0,0,None,0.0,0.16
11,660.0,7.72,0.71,3.62,Iodide_Triiodide,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(s1)C/C=C(\C(=O)O)/C#N)CC,24.0,100.0,152.64,TiO2,12.0,0.0,0,0,None,0.0,0.16
12,600.0,4.03,0.73,1.77,Iodide_Triiodide,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)CC(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,24.0,100.0,152.64,TiO2,12.0,0.0,0,0,None,0.0,0.16
13,690.0,5.79,0.7,2.8,Iodide_Triiodide,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)c1ccc(cc1)/C=C(/C(=O)O)\C#N)CC,24.0,100.0,152.64,TiO2,12.0,0.0,0,0,None,0.0,0.16
14,580.0,3.33,0.73,1.41,Iodide_Triiodide,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\[C@H]1SC(=S)N(C1=O)C(=O)O)/[C@H]1SC(=S)N(C1=O)CC(=O)O)CC,24.0,100.0,152.64,TiO2,12.0,0.0,0,0,None,0.0,0.16
15,660.0,5.63,0.7,2.6,Iodide_Triiodide,CCN(c1ccc2c(c1)oc(=O)c(c2)c1ccc(cc1)/C=C(\C(=O)O)/C#N)CC,24.0,100.0,152.64,TiO2,12.0,0.0,0,0,None,0.0,0.16
16,380.0,4.5,0.63,1.1,Iodide_Triiodide,OC(=O)C[n+]1c(/C=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)sc2c1cccc2,12.0,100.0,152.64,TiO2,13.0,0.0,0,0,None,0.0,0.25
17,340.0,2.7,0.63,0.6,Iodide_Triiodide,OC(=O)c1ccc2c(c1)C(C)(C)C(=[N+]2C)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,12.0,100.0,152.64,TiO2,13.0,0.0,0,0,None,0.0,0.25
18,490.0,7.5,0.7,2.6,Iodide_Triiodide,OC(=O)CN1C(=S)S/C(=C/c2cc3cc4c5c(c3oc2=O)C(C)(C)CCN5CCC4(C)C)/C1=O,12.0,100.0,152.64,TiO2,13.0,0.0,0,0,None,0.0,0.25
19,480.0,12.8,0.6,3.7,Iodide_Triiodide,OC(=O)C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)C(=O)O,12.0,100.0,152.64,TiO2,13.0,0.0,0,0,None,0.0,0.25
20,470.0,15.1,0.5,3.5,Iodide_Triiodide,N#C/C(=C/C=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,13.0,0.0,0,0,None,0.0,0.25
21,550.0,15.2,0.62,5.2,Iodide_Triiodide,N#C/C(=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,13.0,0.0,0,0,None,0.0,0.25
22,530.0,13.2,0.67,4.7,Iodide_Triiodide,CCN(c1ccc2c(c1)oc(=O)c(c2)/C=C/C=C(\C(=O)O)/C#N)CC,12.0,100.0,152.64,TiO2,13.0,0.0,0,0,None,0.0,0.25
23,500.0,9.4,0.65,3.1,Iodide_Triiodide,N#C/C(=C\c1c(=O)oc2c(c1C(F)(F)F)cc1c3c2C(C)(C)CCN3CCC1(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,13.0,0.0,0,0,None,0.0,0.25
24,500.0,12.9,0.64,4.1,Iodide_Triiodide,N#C/C(=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,13.0,0.0,0,0,None,0.0,0.25
25,510.0,11.1,0.6,3.4,Iodide_Triiodide,OC(=O)/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C,12.0,100.0,152.64,TiO2,13.0,0.0,0,0,None,0.0,0.25
26,410.0,4.1,0.56,0.9,Iodide_Triiodide,OC(=O)c1cc2cc3CCCN4c3c(c2oc1=O)CCC4,12.0,100.0,152.64,TiO2,13.0,0.0,0,0,None,0.0,0.25
27,660.0,12.1,0.73,5.8,Iodide_Triiodide,N#C/C(=C\c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,15.0,0.0,0,1,DCA,40.0,0.25
28,710.0,13.5,0.77,7.4,Iodide_Triiodide,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,15.0,0.0,0,1,DCA,40.0,0.25
29,700.0,14.3,0.64,6.4,Iodide_Triiodide,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,15.0,0.0,0,1,DCA,40.0,0.25
30,796.0,6.98,0.87,3.81,Iodide_Triiodide,CCCCn1c2ccc(cc2c2c1cccc2)c1ccc(c2c1nsn2)c1ccc(cc1)C=C(C1SC(=S)N(C1=O)CC(=O)O)C1SC(=S)N(C1=O)CC(=O)O,24.0,100.0,152.64,TiO2,10.0,0.0,0,0,None,0.0,0.16
31,470.0,17.1,0.45,3.6,Iodide_Triiodide,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,15.0,0.0,0,0,None,0.0,0.25
32,450.0,13.7,0.5,3.1,Iodide_Triiodide,N#C/C(=C/C=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,14.0,0.0,0,0,None,0.0,0.25
33,490.0,14.5,0.46,3.3,Iodide_Triiodide,N#C/C(=C/C=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,14.0,0.0,0,1,DCA,5.0,0.25
34,510.0,14.6,0.51,3.8,Iodide_Triiodide,N#C/C(=C/C=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,14.0,0.0,0,1,DCA,20.0,0.25
35,540.0,14.7,0.49,3.9,Iodide_Triiodide,N#C/C(=C/C=C/C=C/c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,14.0,0.0,0,1,DCA,40.0,0.25
36,420.0,15.3,0.44,2.8,Iodide_Triiodide,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,14.0,0.0,0,0,None,0.0,0.25
37,460.0,16.2,0.44,3.3,Iodide_Triiodide,N#C/C(=C/c1ccc(s1)c1ccc(s1)c1cc2cc3c4c(c2oc1=O)C(C)(C)CCN4CCC3(C)C)/C(=O)O,12.0,100.0,152.64,TiO2,14.0,0.0,0,1,DCA,20.0,0.25
